,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2
0,Danny Green,80.91117,2.39181,Tim Duncan,78.79559,20.16251,Kawhi Leonard,59.53665,14.93584,LaMarcus Aldridge,82.20962,40.37088,Tony Parker,91.08366,42.47392
1,Danny Green,82.16289,2.5718,Tim Duncan,76.95172,20.57945,Kawhi Leonard,58.44753000000001,15.17051,LaMarcus Aldridge,78.94536,41.30786,Tony Parker,91.46242,39.8237
2,Danny Green,83.86664,2.66401,Tim Duncan,75.26413000000002,21.05754,Kawhi Leonard,57.19422,16.01526,LaMarcus Aldridge,76.14469,41.26462,Tony Parker,91.25682,37.50819
3,Danny Green,85.52435,2.68388,Tim Duncan,73.9999,21.45754,Kawhi Leonard,56.16273,16.2499,LaMarcus Aldridge,74.5287,40.99627,Tony Parker,90.82696,36.0107
4,Danny Green,86.81936,2.58144,Tim Duncan,73.00075,21.76722,Kawhi Leonard,55.57597,15.91175,LaMarcus Aldridge,73.6682,40.59286,Tony Parker,90.02123,34.58504
5,Danny Green,87.83847,2.53426,Tim Duncan,72.05059,21.9213,Kawhi Leonard,55.33071,16.17284,LaMarcus Aldridge,73.07734,40.04044,Tony Parker,88.90949,33.02844
6,Danny Green,88.71584,2.56172,Tim Duncan,71.40913,21.57168,Kawhi Leonard,55.57326,15.89589,LaMarcus Aldridge,72.43523,39.63089,Tony Parker,87.77174000000002,31.75108
7,Danny Green,88.99484,2.42641,Tim Duncan,70.80882,20.93264,Kawhi Leonard,56.51116999999999,14.75588,LaMarcus Aldridge,72.04915,38.55688,Tony Parker,87.6161,31.19262
8,Danny Green,88.87783,2.05566,Tim Duncan,70.49306999999997,19.94699,Kawhi Leonard,58.09376999999999,13.76204,LaMarcus Aldridge,71.71153000000002,37.44578,Tony Parker,87.98953,30.81922
9,Danny Green,88.76557,1.70802,Tim Duncan,70.08027,18.85741,Kawhi Leonard,60.1254,12.77943,LaMarcus Aldridge,71.59491,36.90482,Tony Parker,88.44362,30.27399
10,Danny Green,88.70496,1.54452,Tim Duncan,69.5159,18.39677,Kawhi Leonard,62.69828,11.12998,LaMarcus Aldridge,72.03294,36.72501,Tony Parker,89.2956,29.61791
11,Danny Green,88.62735,1.47912,Tim Duncan,69.31527,18.6367,Kawhi Leonard,65.44026,9.24297,LaMarcus Aldridge,72.54874000000002,36.61947,Tony Parker,89.60948,27.70851
12,Danny Green,88.54191999999998,1.44865,Tim Duncan,69.19861,18.77701,Kawhi Leonard,68.24723,8.06199,LaMarcus Aldridge,72.73687,36.11254,Tony Parker,88.38354,25.15006
13,Danny Green,88.45413,1.44697,Tim Duncan,69.12205,18.49819,Kawhi Leonard,71.25255,6.68165,LaMarcus Aldridge,72.55696,35.41354000000001,Tony Parker,86.31317,22.79173
14,Danny Green,88.51645,1.59095,Tim Duncan,69.14584,18.42177,Kawhi Leonard,74.21205,4.98784,LaMarcus Aldridge,72.15722,35.02946,Tony Parker,83.82807,20.17508
15,Danny Green,88.73456,2.01283,Tim Duncan,69.20669000000001,18.47404,Kawhi Leonard,77.21355,3.66941,LaMarcus Aldridge,71.84363,34.43157,Tony Parker,80.09293000000002,17.18737
16,Danny Green,88.63422,2.64547,Tim Duncan,69.26417,18.26276,Kawhi Leonard,80.00121,3.14516,LaMarcus Aldridge,71.85978,33.99191,Tony Parker,75.49797,15.42823
17,Danny Green,88.02338,3.70529,Tim Duncan,68.94149,17.72736,Kawhi Leonard,82.17629000000002,3.1001,LaMarcus Aldridge,72.30973,33.88551,Tony Parker,70.62262,15.82559
18,Danny Green,86.72679000000002,5.205019999999998,Tim Duncan,68.96656,17.72866,Kawhi Leonard,83.26955,2.68412,LaMarcus Aldridge,72.89046,33.80883,Tony Parker,66.42806999999999,17.54709
19,Danny Green,84.78386,6.3223400000000005,Tim Duncan,69.85864000000001,17.98121,Kawhi Leonard,83.71903,2.19676,LaMarcus Aldridge,73.30664,33.72675,Tony Parker,63.94083000000001,20.02803
20,Danny Green,82.3948,7.09829,Tim Duncan,71.04499,18.00179,Kawhi Leonard,84.52185,2.14995,LaMarcus Aldridge,73.69758,33.76845,Tony Parker,62.11121,22.85638
21,Danny Green,79.71387,7.24982,Tim Duncan,72.13965999999998,18.13224,Kawhi Leonard,85.54579,1.97768,LaMarcus Aldridge,74.39579,33.88369,Tony Parker,61.29079,24.59775
